                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                0.67817,                0.45538,                0.45426,                0.86853,                0.97622,                0.99762,                0.98227,                0.90714,                0.97377,                0.99429,                0.98232,                0.65625,                0.38064,                0.54187,                0.37583,                 0.8163,               0.005842,               0.005842,               0.005842
                     44,                0.69503,                0.48702,                0.46403,                0.88251,                0.97479,                0.99707,                0.98223,                0.90798,                0.97285,                 0.9946,                0.98232,                0.68817,                0.38799,                0.47381,                0.38818,                0.81177,               0.005743,               0.005743,               0.005743
                     45,                 0.6307,                0.48142,                0.43838,                0.86253,                0.97554,                0.99865,                0.98057,                0.93118,                0.97357,                0.99449,                 0.9806,                0.68976,                0.34248,                0.42765,                0.35922,                0.81046,               0.005644,               0.005644,               0.005644
                     46,                0.67452,                0.52481,                0.44047,                0.87157,                0.97576,                0.99775,                0.98162,                0.90645,                0.97576,                0.99634,                0.98164,                0.66722,                0.42509,                0.60474,                0.37933,                0.81932,               0.005545,               0.005545,               0.005545
                     47,                0.65188,                0.45067,                0.43616,                0.86521,                0.97795,                  0.998,                0.98122,                0.92819,                0.97571,                0.99435,                0.98131,                0.69013,                0.35895,                0.45057,                0.36986,                0.80492,               0.005446,               0.005446,               0.005446
                     48,                0.66465,                0.44774,                0.45285,                0.86125,                0.97466,                0.99533,                 0.9818,                0.91596,                0.97317,                0.99145,                0.98171,                0.67249,                0.39777,                0.48262,                0.39885,                0.80895,               0.005347,               0.005347,               0.005347
                     49,                0.61979,                0.44947,                0.44313,                0.85472,                0.97746,                0.99554,                0.98295,                0.90222,                0.97598,                 0.9946,                0.98301,                0.66517,                0.40657,                0.56511,                0.36599,                0.80959,               0.005248,               0.005248,               0.005248
                     50,                0.66487,                0.48973,                0.44643,                0.85548,                 0.9777,                 0.9964,                 0.9794,                0.92657,                0.97571,                0.99438,                0.97943,                0.68941,                 0.3616,                0.50177,                0.35644,                0.80546,               0.005149,               0.005149,               0.005149
                     51,                0.65566,                0.42591,                0.43986,                0.86421,                0.97621,                0.99775,                0.98199,                0.91121,                 0.9757,                0.99415,                0.98186,                0.67733,                0.42017,                0.52664,                0.39107,                 0.8079,                0.00505,                0.00505,                0.00505
                     52,                0.65907,                0.44715,                0.44048,                0.85992,                0.97756,                0.99572,                0.98272,                0.91357,                0.97527,                0.99385,                0.98237,                0.67498,                0.44232,                0.51908,                0.40002,                0.80944,               0.004951,               0.004951,               0.004951
